segment length: 1355	score: 701.278
segment length: 4074	score: 2331.8


segment length: 2021	score: 615.62


segment length: 6086	score: 3225.06


segment length: 2020	score: 804.289


segment length: 1969	score: 728.956


segment length: 2141	score: 1078.23


segment length: 4210	score: 1682.59


segment length: 2150	score: 911.867


segment length: 578	score: 257.708


segment length: 996	score: 434.612


segment length: 3068	score: 1338.56


segment length: 1025	score: 458.483


segment length: 1747	score: 801.375


segment length: 1511	score: 721.632


segment length: 8189	score: 3223.86


segment length: 1779	score: 718.62


segment length: 1812	score: 972.367


segment length: 4490	score: 1843.28


segment length: 3739	score: 2013.33


segment length: 2796	score: 1612


segment length: 2155	score: 967.506


segment length: 1826	score: 646.905


segment length: 8204	score: 2503.55


segment length: 3913	score: 1951.55


segment length: 1524	score: 652.74


segment length: 2665	score: 989.191


segment length: 5029	score: 2289.82


segment length: 4836	score: 1997.23


segment length: 2775	score: 1199.91


segment length: 3706	score: 1788.63


segment length: 6129	score: 3064.62


segment length: 1728	score: 683.379


segment length: 1939	score: 969.867


segment length: 2990	score: 1503.41


segment length: 4713	score: 1930.2


segment length: 6626	score: 3944.6


segment length: 3567	score: 1932.29


segment length: 9400	score: 4147.11


segment length: 989	score: 404.332


segment length: 4887	score: 2205.35


segment length: 8402	score: 3312.88


segment length: 2193	score: 844.246


segment length: 1917	score: 916.879


segment length: 2363	score: 1000.55


segment length: 1753	score: 783.665


segment length: 4899	score: 2085.07


segment length: 1480	score: 814.847


segment length: 9028	score: 4569.95


segment length: 3031	score: 1451.62


segment length: 4368	score: 2289.41


segment length: 655	score: 295.245


segment length: 3043	score: 1481.64


segment length: 3262	score: 1232.52


segment length: 1442	score: 651.845


segment length: 4407	score: 2209.14


segment length: 5552	score: 2460.74


segment length: 2942	score: 1447.1


segment length: 2723	score: 1302.07


segment length: 5478	score: 2714.64


segment length: 3030	score: 1323.16


segment length: 4888	score: 2540.04


segment length: 2517	score: 1021.14


segment length: 5318	score: 3164.64


segment length: 1093	score: 452.025


segment length: 489	score: 337.494


segment length: 3686	score: 1794.6


segment length: 3366	score: 1505.69


segment length: 2140	score: 1073.34


segment length: 2164	score: 1132.69


segment length: 2528	score: 1059.79


segment length: 2008	score: 1031.61


segment length: 863	score: 603.648


segment length: 2979	score: 1066.94


segment length: 3630	score: 1578.69


segment length: 3184	score: 1359.38


segment length: 785	score: 451.215


segment length: 3507	score: 1622.67


segment length: 5715	score: 2955.72


segment length: 1786	score: 746.117


segment length: 2449	score: 1219.41


segment length: 1485	score: 566.705


segment length: 5119	score: 2558.4


segment length: 2868	score: 1497.95


segment length: 4022	score: 1863.25


segment length: 3630	score: 1491.69


segment length: 3131	score: 1801.34


segment length: 2330	score: 976.772


segment length: 2673	score: 1513.05


segment length: 2000	score: 1097.23


segment length: 1137	score: 466.626
1058 1353 0	100305 100600

0 0 inf	99247 99247


segment length: 1439	score: 625.657


segment length: 4037	score: 1770.33


segment length: 7878	score: 1653.86
7638 8479 3.90491	107841 108682

3150 3749 34.1638	103353 103952


segment length: 3126	score: 1435.75
2890 3501 3.43886	103699 104310

0 0 inf	100809 100809


segment length: 2980	score: 1146.53


segment length: 5427	score: 1228.57
2438 3111 3.79443	103369 104042

2525 3174 32.8201	103456 104105


segment length: 5360	score: 1089.51
2244 2957 3.59359	103314 104027

2450 3049 36.2764	103520 104119


segment length: 1687	score: 572.96


segment length: 2710	score: 736.028
3735 4460 4.65145	106445 107170

575 1299 30.428	103285 104009


segment length: 1837	score: 328.547
1797 2459 2.74175	104737 105399

300 1074 28.668	103240 104014


segment length: 2722	score: 1054.07
268 816 3.02698	103370 103918

75 949 35.1534	103177 104051


segment length: 3198	score: 1752.77


segment length: 2770	score: 1570.71


segment length: 5210	score: 2080.24


segment length: 1439	score: 635.752


segment length: 2453	score: 949.617


segment length: 1820	score: 956.125


segment length: 1834	score: 866.667


segment length: 3265	score: 1507.77


segment length: 5984	score: 2297.19


segment length: 4630	score: 2601.72


segment length: 3053	score: 1864.23


segment length: 2107	score: 793.359


segment length: 1243	score: 691.404


segment length: 906	score: 413.458


segment length: 2917	score: 1166.5


segment length: 1335	score: 575.128


segment length: 1616	score: 620.279


segment length: 704	score: 366.88


segment length: 1808	score: 883.572


segment length: 2880	score: 1583.62


segment length: 1354	score: 734.669


segment length: 1222	score: 788.166


segment length: 2399	score: 1016.99


segment length: 1689	score: 674.629


segment length: 2208	score: 1054.73


segment length: 1904	score: 1066.99


segment length: 2112	score: 985.611


segment length: 4712	score: 2445.93


segment length: 1769	score: 738.239


segment length: 1987	score: 893.522


segment length: 1718	score: 734.608


segment length: 2100	score: 815.056


segment length: 4379	score: 2041.19


segment length: 1702	score: 775.093


segment length: 5189	score: 2868.58


segment length: 2911	score: 1086.17


segment length: 2100	score: 857.967


segment length: 3604	score: 1608.97


segment length: 1205	score: 576.237


segment length: 2949	score: 1170.22


segment length: 5051	score: 1983.42


segment length: 1216	score: 548.302


segment length: 4451	score: 2101.17


segment length: 1232	score: 558.036


segment length: 1109	score: 391.74


segment length: 2067	score: 1014.79


segment length: 4145	score: 1870.2


segment length: 1040	score: 547.369


segment length: 1780	score: 790.502


segment length: 4692	score: 1990.75


segment length: 1049	score: 573.514


segment length: 1881	score: 529.83


segment length: 1686	score: 875.056


segment length: 389	score: 156.355


segment length: 1796	score: 838.312


segment length: 1873	score: 980.426


segment length: 2571	score: 1256.79


segment length: 2407	score: 1091.15


segment length: 1653	score: 888.745


segment length: 2113	score: 1023.79


segment length: 1104	score: 410.48


segment length: 1677	score: 840.779


segment length: 3289	score: 1682.03


segment length: 3825	score: 1490.01


segment length: 2557	score: 1260.71


segment length: 3606	score: 1739.99


segment length: 6879	score: 2255.43


segment length: 6780	score: 3358.7


segment length: 6081	score: 3726.19


segment length: 3932	score: 2035.74


segment length: 5549	score: 2185.42


segment length: 7381	score: 3911.03


segment length: 2230	score: 874.133


segment length: 2035	score: 985.657


segment length: 1731	score: 786.866


segment length: 4807	score: 2460.36


segment length: 2868	score: 1351.84


segment length: 1713	score: 884.728


segment length: 4003	score: 1838.66


segment length: 1425	score: 788.17


segment length: 1318	score: 594.152


segment length: 2036	score: 1071.75


segment length: 2446	score: 1207.28


segment length: 1377	score: 778.921


segment length: 1926	score: 797.822


segment length: 598	score: 303.35


segment length: 5711	score: 2817.63


segment length: 3649	score: 2051.25


segment length: 1996	score: 848.085


segment length: 2340	score: 931.467


segment length: 2792	score: 1506.48


segment length: 1972	score: 737.295


segment length: 6459	score: 1367.74


segment length: 2544	score: 1187.16


segment length: 5187	score: 2278.78


segment length: 1924	score: 937.105


segment length: 2499	score: 1121.99


segment length: 4122	score: 1882.53


segment length: 1689	score: 695.211


segment length: 4803	score: 2018.11


segment length: 5266	score: 2979.24


segment length: 1263	score: 596.731


segment length: 4473	score: 2093.84


segment length: 2890	score: 1524.15


segment length: 464	score: 188.55


segment length: 2608	score: 1130.62


segment length: 2473	score: 1264.94


segment length: 1066	score: 426.957


segment length: 4080	score: 1883.12


segment length: 6223	score: 3207.99


segment length: 6158	score: 2956.75


segment length: 924	score: 460.903


segment length: 6378	score: 3372.42


segment length: 1427	score: 796.289


segment length: 2980	score: 1612.67


segment length: 1082	score: 438.539


segment length: 1631	score: 763.452


segment length: 2242	score: 1011.91


segment length: 3859	score: 1713.2


segment length: 3218	score: 1400.01
0 0 inf	165941 165941

1775 1899 33.3498	167716 167840


segment length: 4440	score: 1690.52


segment length: 1047	score: 496.659


segment length: 1126	score: 528.404


segment length: 7937	score: 3359.36


segment length: 1074	score: 469.105


segment length: 2593	score: 1169.82


segment length: 2559	score: 1408.68


segment length: 1913	score: 964.831


segment length: 2771	score: 1546.8


segment length: 1328	score: 571.042


segment length: 2920	score: 1576.59


segment length: 1479	score: 808.651


segment length: 615	score: 318.73


segment length: 1797	score: 944.157


segment length: 2064	score: 1087.6


segment length: 3524	score: 1764.83


segment length: 1427	score: 710.75


segment length: 7183	score: 3350.45


segment length: 3461	score: 1760.65


segment length: 534	score: 221.464


segment length: 1585	score: 866.613


segment length: 4702	score: 2131.09


segment length: 1919	score: 927.102


segment length: 3850	score: 2024


segment length: 414	score: 208.288


segment length: 1568	score: 666.028


segment length: 3720	score: 2030.77


segment length: 1517	score: 686.893


segment length: 1963	score: 980.111


segment length: 2301	score: 1020.1


segment length: 927	score: 504.098


segment length: 4201	score: 1658.42


segment length: 923	score: 345.418


segment length: 2504	score: 1446.29


segment length: 5298	score: 2023.58


segment length: 1514	score: 558.372


segment length: 3954	score: 2461.16


segment length: 2342	score: 811.379


segment length: 4852	score: 1964.32


segment length: 3418	score: 1985.64


segment length: 2757	score: 1273.59


segment length: 3106	score: 1066.6


segment length: 9939	score: 5014.98


segment length: 1884	score: 1059.1


segment length: 5032	score: 2391.87


segment length: 3482	score: 1668.77


segment length: 3756	score: 1656.31


segment length: 5115	score: 2630.79


segment length: 2603	score: 1099.97


segment length: 1872	score: 824.785


segment length: 1325	score: 614.001


segment length: 2982	score: 1386.16


segment length: 3561	score: 1401.68


segment length: 2028	score: 875.668


segment length: 3481	score: 1411.09


segment length: 2274	score: 856.204


segment length: 3035	score: 1126.98


segment length: 1110	score: 465.359


segment length: 3071	score: 1439.8


segment length: 1953	score: 1169.72


segment length: 1201	score: 509.439


segment length: 2813	score: 1121.85


segment length: 2499	score: 945.311


segment length: 1328	score: 708.047


segment length: 2720	score: 1032.06


segment length: 7026	score: 3587.88


segment length: 3464	score: 1541.96


segment length: 6104	score: 2371.21


segment length: 1056	score: 494.882


segment length: 2211	score: 1116.02


segment length: 3295	score: 1396.67


segment length: 839	score: 323.615


segment length: 2713	score: 1305.1


segment length: 2437	score: 1462.52


segment length: 1412	score: 648.4


segment length: 2077	score: 845.95


segment length: 2248	score: 1136.91


segment length: 1632	score: 948.628


segment length: 3075	score: 1482.84


segment length: 2214	score: 1014.98


segment length: 3630	score: 1879.25


segment length: 4728	score: 2679


segment length: 1862	score: 661.597


segment length: 1571	score: 713.967


segment length: 713	score: 329.026


segment length: 1154	score: 529.342


segment length: 2282	score: 1049.8


segment length: 2361	score: 1131.14


segment length: 5023	score: 2050.31


segment length: 911	score: 378.708


segment length: 4854	score: 2217.09


segment length: 950	score: 427.151


segment length: 1634	score: 823.799


segment length: 1686	score: 862.052


segment length: 694	score: 274.495


segment length: 2471	score: 1123.14


segment length: 3800	score: 574.648


segment length: 4398	score: 885.545


segment length: 769	score: 347.922


segment length: 1237	score: 663.691


segment length: 2108	score: 100.185


segment length: 1673	score: 108.423


segment length: 2764	score: 643.785


segment length: 1410	score: 129.602


segment length: 1455	score: 124.342


segment length: 3059	score: 1510.21


segment length: 5030	score: 2089.79


segment length: 2316	score: 1168.39


segment length: 1157	score: 318.734


segment length: 3298	score: 1913.45


segment length: 1060	score: 384.627


segment length: 4998	score: 2110.66


segment length: 5978	score: 2459.71


segment length: 2036	score: 1121.99


segment length: 8808	score: 4183.59


segment length: 2564	score: 1215.65


segment length: 1518	score: 765.258


segment length: 2075	score: 829.528


segment length: 1623	score: 815.026


segment length: 1397	score: 730.398


segment length: 3614	score: 1892.66


segment length: 3235	score: 1901.67


segment length: 2385	score: 1007.81


segment length: 7771	score: 3124.64


segment length: 2934	score: 1135.77


segment length: 1782	score: 950.447


segment length: 6364	score: 3520


segment length: 1847	score: 815.192


segment length: 5779	score: 2695.49


segment length: 3535	score: 1417.11


segment length: 1158	score: 389.778


segment length: 2071	score: 960.286


segment length: 2472	score: 1058.52


segment length: 5850	score: 3331.96


segment length: 2306	score: 1103.5


segment length: 1079	score: 350.803


segment length: 5800	score: 2313.84


segment length: 1489	score: 520.357


segment length: 1395	score: 679.172


segment length: 3023	score: 1624.67


segment length: 1544	score: 703.5


segment length: 1556	score: 862.317


segment length: 1791	score: 827.973


segment length: 3419	score: 1593.6


segment length: 4827	score: 2449.5


segment length: 3064	score: 1786.93


segment length: 4630	score: 2073.3


segment length: 4669	score: 2157.35


segment length: 2130	score: 1068.25


segment length: 1759	score: 823.87


segment length: 1567	score: 929.518


segment length: 1571	score: 402.624


segment length: 3708	score: 1791.8


segment length: 3032	score: 1111.13


segment length: 1266	score: 535.107


segment length: 4796	score: 2584.33


segment length: 1285	score: 527.636


segment length: 1573	score: 814.517


segment length: 1702	score: 816.152


segment length: 2101	score: 1012.72


segment length: 2193	score: 826.725


segment length: 4805	score: 2389.69


segment length: 2181	score: 1161.94


segment length: 2076	score: 842.548


segment length: 2766	score: 1585.79


segment length: 1448	score: 814.709


segment length: 812	score: 328.989


segment length: 1530	score: 908.543


segment length: 2134	score: 866.03


segment length: 2603	score: 1026.41


segment length: 1009	score: 533.513


segment length: 4597	score: 2134.46


segment length: 2645	score: 1242.47


segment length: 1692	score: 618.13


segment length: 1945	score: 932.743


segment length: 1515	score: 798.663


segment length: 866	score: 338.197


segment length: 4134	score: 2042.84


segment length: 1854	score: 867.713


segment length: 4283	score: 2379.66


segment length: 447	score: 242.751


segment length: 2718	score: 1263.5


segment length: 4593	score: 1940.27


segment length: 1991	score: 1113.02


segment length: 3507	score: 1667.12


segment length: 1380	score: 634.078


segment length: 4630	score: 2194.51


segment length: 1637	score: 850.348


segment length: 3821	score: 2104.66


segment length: 2893	score: 1294.9


segment length: 2110	score: 1084.93


segment length: 634	score: 280.743


segment length: 2159	score: 966.162


segment length: 1080	score: 455.145


segment length: 1939	score: 893.211


segment length: 4251	score: 1960.13


segment length: 2096	score: 1030.02


segment length: 6010	score: 2393.13


segment length: 1530	score: 917.91


segment length: 3012	score: 1511.99


segment length: 1656	score: 781.596


segment length: 1998	score: 969.687


segment length: 2877	score: 1500.38


segment length: 3112	score: 1628.7


segment length: 5129	score: 2353.53


segment length: 1675	score: 679.049


segment length: 1524	score: 496.149


segment length: 7394	score: 3260.32


segment length: 655	score: 324.179


segment length: 810	score: 389.781


segment length: 8802	score: 2682.75
6748 7656 0	306167 307075

0 0 inf	299419 299419


segment length: 4778	score: 2048


segment length: 1463	score: 847.9


segment length: 2590	score: 939.451


segment length: 9419	score: 2031.58
5794 6693 0	306163 307062

0 0 inf	300369 300369


segment length: 1661	score: 1086.17


segment length: 1969	score: 686.223


segment length: 3323	score: 1026.48


segment length: 2690	score: 918.108


segment length: 2043	score: 688.011


segment length: 1564	score: 703.097


segment length: 3244	score: 1129.78
2500 3360 0	306209 307069

0 0 inf	303709 303709


segment length: 1496	score: 549.509


segment length: 4485	score: 1083.49
1198 2089 4.53506	306167 307058

525 724 30.6855	305494 305693


segment length: 7578	score: 2570.99
836 1702 3.77172	306170 307036

150 874 31.9721	305484 306208


segment length: 6731	score: 2608.86
395 1179 2.32046	306262 307046

0 0 inf	305867 305867


segment length: 1722	score: 535.042
352 596 0	306622 306866

0 0 inf	306270 306270


segment length: 9342	score: 4200.02
11458 12227 1.3043	317738 318507

225 424 27.5251	306505 306704


segment length: 5242	score: 1905.38


segment length: 2132	score: 1188.22


segment length: 663	score: 310.134


segment length: 1664	score: 727.24


segment length: 1486	score: 502.257


segment length: 1451	score: 780.987


segment length: 2445	score: 826.749


segment length: 5109	score: 2372.34


segment length: 1199	score: 610.68


segment length: 1881	score: 686.804


segment length: 1109	score: 449.651


segment length: 7191	score: 4019.22


segment length: 1319	score: 564.427


segment length: 3780	score: 1783.96


segment length: 6313	score: 2743.73


segment length: 2013	score: 1116


segment length: 1270	score: 628.402


segment length: 3236	score: 1385.17


segment length: 3890	score: 1932.86


segment length: 4965	score: 2427.08


segment length: 806	score: 282.166


segment length: 4370	score: 2507.21


segment length: 2708	score: 1315.9


segment length: 1110	score: 367.625


segment length: 1028	score: 353.017


segment length: 1714	score: 744.715


segment length: 1190	score: 373.338


segment length: 1381	score: 666.28


segment length: 2483	score: 1064.54


segment length: 1805	score: 968.562


segment length: 1404	score: 586.958


segment length: 3119	score: 1217.86


segment length: 1755	score: 813.177


segment length: 2043	score: 841.689


segment length: 9659	score: 3500.52


segment length: 3954	score: 1794.28


segment length: 1956	score: 1038.78


segment length: 3039	score: 1298.02


segment length: 2415	score: 1142.36


segment length: 1554	score: 916.504


segment length: 4058	score: 1596.99


segment length: 1568	score: 835.777


segment length: 1906	score: 770.714


segment length: 2747	score: 1299.54


segment length: 2069	score: 911.031


segment length: 2852	score: 1038.55


segment length: 2285	score: 1063.18


segment length: 8811	score: 4093.46


segment length: 1778	score: 752.787


segment length: 1529	score: 727.677


segment length: 1955	score: 983.149


segment length: 4459	score: 1891.51


segment length: 4810	score: 2406.65


segment length: 3851	score: 1872.54


segment length: 2029	score: 894.373


segment length: 2683	score: 1294.79


segment length: 783	score: 424.13


segment length: 2063	score: 1187.17


segment length: 1528	score: 814.931


segment length: 2461	score: 1379.85


segment length: 2995	score: 1446.98


segment length: 4157	score: 1712.86


segment length: 1861	score: 945.848


segment length: 5096	score: 2175.62


segment length: 1907	score: 742.467


segment length: 2812	score: 1262.2


segment length: 2969	score: 1354.99


segment length: 4448	score: 2564.79


segment length: 3012	score: 1298.94


segment length: 2224	score: 1077.41


segment length: 3128	score: 1490.53


segment length: 5988	score: 2744.39


segment length: 1498	score: 614.158


segment length: 3473	score: 984.629


segment length: 4939	score: 2104.54


segment length: 4863	score: 2381


segment length: 3892	score: 1542.5


segment length: 3523	score: 1669.66


segment length: 827	score: 468.686


segment length: 1307	score: 651.62


segment length: 1955	score: 784.124


segment length: 2039	score: 1101.91


segment length: 1384	score: 711.681


segment length: 2076	score: 1028.05


segment length: 3943	score: 1442.67


segment length: 2146	score: 1022.64


segment length: 2538	score: 1258.18


segment length: 3268	score: 1216.11


segment length: 1694	score: 827.46


segment length: 2059	score: 963.057


segment length: 789	score: 424.944


segment length: 1907	score: 1011.27


segment length: 1126	score: 476.594


segment length: 2057	score: 1051.2


segment length: 5022	score: 2185.81


segment length: 1501	score: 691.51


segment length: 3425	score: 1301.36


segment length: 4480	score: 2281.67


segment length: 1584	score: 791.067


segment length: 1835	score: 927.9


segment length: 1467	score: 812.237


segment length: 1094	score: 543.143


segment length: 3411	score: 1755.02


segment length: 2125	score: 1175.11


segment length: 1173	score: 415.459


segment length: 2530	score: 1084.7


segment length: 1928	score: 1228.52


segment length: 2951	score: 1210.83


segment length: 2010	score: 903.591


segment length: 3470	score: 1863.58


segment length: 3844	score: 1271.06


segment length: 2562	score: 1190.45


segment length: 2385	score: 1296.8


segment length: 3867	score: 1771.61


segment length: 4855	score: 2480.29


segment length: 4714	score: 2042.82


segment length: 2798	score: 759.516


segment length: 1319	score: 482.477


segment length: 1957	score: 965.033


segment length: 1880	score: 915.165


segment length: 2165	score: 873.045


segment length: 3763	score: 1437.41


segment length: 1541	score: 734.356


segment length: 2605	score: 1202.12


segment length: 2159	score: 1394.51


segment length: 3411	score: 1620.25


segment length: 3888	score: 1917.12


segment length: 3551	score: 1688.77


segment length: 3818	score: 1768.93


segment length: 1451	score: 603.48


segment length: 4417	score: 2113.42


segment length: 1714	score: 950.277


segment length: 3460	score: 1374.78


segment length: 1016	score: 501.965


segment length: 1265	score: 619.242


segment length: 6450	score: 3568.55


segment length: 2002	score: 856.369


segment length: 2727	score: 969.857


segment length: 2725	score: 890.767


segment length: 6103	score: 2573.85


segment length: 5219	score: 2453.61


segment length: 2493	score: 1298.61


segment length: 1628	score: 706.368


segment length: 1960	score: 912.277


segment length: 2978	score: 1354.12


segment length: 3217	score: 1716.64


segment length: 2170	score: 790.824


segment length: 2296	score: 1002.27


segment length: 3459	score: 1621.16


segment length: 2710	score: 1412.6


segment length: 1140	score: 471.109


segment length: 7448	score: 3802.36


segment length: 2480	score: 1079.61


segment length: 4366	score: 1945.95


segment length: 933	score: 502.083


segment length: 9114	score: 2623.53


segment length: 1696	score: 742.975


segment length: 1354	score: 530.677


segment length: 2994	score: 1481.67


segment length: 1539	score: 764.3


segment length: 1864	score: 879.197


segment length: 1370	score: 563.312


segment length: 1971	score: 1112.15


segment length: 1236	score: 579.003


segment length: 3185	score: 1181.37


segment length: 3607	score: 1983.16


segment length: 2518	score: 998.35


segment length: 3649	score: 1480.09


segment length: 3093	score: 1018.78


segment length: 1556	score: 785.559


segment length: 2483	score: 1409.86


segment length: 1617	score: 611.701


segment length: 1696	score: 1011.02


segment length: 1030	score: 600.519


segment length: 2573	score: 1218.7


segment length: 2505	score: 1068.37


segment length: 1951	score: 863.051


segment length: 1350	score: 594.587


segment length: 886	score: 432.426


segment length: 4273	score: 1881.13


segment length: 2504	score: 1311.55


segment length: 1056	score: 415.501


segment length: 3369	score: 1441.87


segment length: 1549	score: 737.457


segment length: 3024	score: 1276.43


segment length: 2499	score: 1313.99


segment length: 2193	score: 1090.16


segment length: 1809	score: 1053.52


segment length: 3690	score: 1725.85


segment length: 3657	score: 1533.01


segment length: 7313	score: 3635.41


segment length: 2338	score: 1160.57


segment length: 7543	score: 3900.28


segment length: 4403	score: 1789.22


segment length: 2125	score: 708.856


segment length: 1327	score: 609.185


segment length: 1168	score: 509.936


segment length: 1840	score: 1051.54


segment length: 3334	score: 1716.03


segment length: 1618	score: 571.127


segment length: 4707	score: 2710.19


segment length: 2404	score: 1305.58


segment length: 3383	score: 1878.77


segment length: 1581	score: 831.428


segment length: 1776	score: 761.202


segment length: 3172	score: 1739.61


segment length: 2081	score: 970.221


segment length: 3856	score: 1564.37


segment length: 463	score: 177.199


segment length: 2506	score: 952.779


segment length: 6548	score: 3732.79


segment length: 3525	score: 1419.73


segment length: 7259	score: 3440.83


segment length: 1981	score: 1034.55


segment length: 3987	score: 2324.34


segment length: 3088	score: 1668.98


segment length: 1643	score: 721.075


segment length: 1197	score: 560.057


segment length: 3664	score: 1767.85


segment length: 2717	score: 997.061


segment length: 3380	score: 1909.8


segment length: 3196	score: 1604.47


segment length: 3013	score: 1325.74


segment length: 3295	score: 1637.92


segment length: 1488	score: 576.698


segment length: 1997	score: 863.632


segment length: 2624	score: 1276.24


segment length: 2953	score: 1490.46


segment length: 1512	score: 648.335


