segment length: 7863	score: 2429.19
DEL 159 290 0	1811471 1811602

segment length: 3232	score: 1257.08
DEL 2987 3229 0	1890602 1890844

segment length: 2093	score: 1078.14
DEL 343 455 0	1902736 1902848

segment length: 4512	score: 2470.21
INS 4000 4224 35.2518	1906401 1906625

segment length: 3621	score: 1394.8
INS 175 799 31.8545	1906265 1906889

segment length: 3006	score: 782.76
DEL 1139 1288 0	1965251 1965400

segment length: 3358	score: 1710.27
DEL 114 269 0	1965245 1965400

segment length: 9155	score: 3787.6
INS 5150 5274 36.8191	2004000 2004124

segment length: 1169	score: 462.335
DEL 680 1380 0	2034681 2035381

segment length: 6463	score: 2065.82
DEL 6197 7002 1.70204	2040293 2041098

segment length: 1182	score: 518.213
INS 575 699 37.5438	2043943 2044067

segment length: 7900	score: 2691.18
DEL 5393 6003 0	2061063 2061673

segment length: 7547	score: 2468.9
DEL 2524 3161 0	2061030 2061667

segment length: 2332	score: 883.959
DEL 1657 2288 0	2061031 2061662

segment length: 4924	score: 2063.83
DEL 4815 5870 2.84978	2065427 2066482

segment length: 4234	score: 1749.08
DEL 356 994 0	2061031 2061669

segment length: 6302	score: 1932.1
INV 3775 4524 31.5941	2068043 2068792

segment length: 3457	score: 885.169
DEL 2319 2763 0	2071105 2071549

segment length: 1316	score: 522.173
INS 775 899 34.9511	2081027 2081151

segment length: 2547	score: 650.113
INV 750 1299 29.7931	2095593 2096142

segment length: 2483	score: 1017.41
INV 1875 2274 37.6509	2111701 2112100

segment length: 3571	score: 1479.78
INV 400 774 31.8814	2111612 2111986

segment length: 1767	score: 446.78
INV 325 724 32.6545	2111621 2112020

segment length: 2060	score: 433.531
INS 950 1624 30.7429	2116086 2116760

segment length: 6423	score: 2206.54
INV 600 1274 34.592	2115973 2116647

segment length: 5638	score: 2401.54
DEL 4875 5397 0	2123760 2124282

segment length: 4501	score: 1899.8
DEL 3922 4421 0	2123758 2124257

segment length: 3813	score: 832.127
DEL 1896 2402 0	2123776 2124282

segment length: 7342	score: 2726.76
DEL 1452 1960 0	2123774 2124282

segment length: 1952	score: 695.563
DEL 1910 2588 0	2125782 2126460

segment length: 4280	score: 1795
INV 3250 3649 30.1125	74469 74868

segment length: 2136	score: 529.04
INV 1425 1849 25.7655	74440 74864

segment length: 6392	score: 2274.35
INV 725 1124 29.9122	74358 74757

segment length: 4762	score: 2045.18
DEL 4488 4724 0.998582	219830 220066

segment length: 7062	score: 2374.5
INS 1900 2049 32.0713	274859 275008

segment length: 2654	score: 844.638
INS 375 524 29.919	471957 472106

segment length: 7249	score: 2252.95
INV 4975 5774 29.2641	527233 528032

segment length: 2906	score: 981.186
DEL 2070 2483 2.39964	527008 527421

segment length: 2535	score: 1042.13
DEL 1941 3023 1.68051	526973 528055

segment length: 3356	score: 737.426
INV 700 1574 30.2593	526926 527800

segment length: 3154	score: 1067.29
DEL 422 700 0	527518 527796

segment length: 7187	score: 1791.62
INV 3950 4649 33.4834	575265 575964

segment length: 3824	score: 838.713
INV 2125 2799 33.4202	575160 575834

segment length: 2403	score: 707.059
INS 1575 2224 27.7689	575139 575788

segment length: 2024	score: 348.489
INV 650 1324 27.0223	575105 575779

segment length: 3384	score: 1966.57
DEL 856 1091 0	587613 587848

segment length: 3816	score: 1042.37
DEL 343 531 0	587989 588177

segment length: 3374	score: 1221.24
DEL 353 511 0	588012 588170

segment length: 3071	score: 1003.18
INV 1900 2624 31.0278	626589 627313

segment length: 3408	score: 726.343
INV 1675 2424 34.1613	626631 627380

segment length: 5618	score: 1320.76
INV 1425 2224 31.9227	626464 627263

segment length: 2690	score: 636.403
DEL 2610 3233 2.21872	629401 630024

segment length: 7279	score: 2808.83
DEL 6781 7319 0	656872 657410

segment length: 3227	score: 990.514
INV 675 1324 32.5862	729232 729881

segment length: 1162	score: 246.719
DEL 1173 1431 3.76014	730442 730700

segment length: 3132	score: 1182.48
INS 1775 1899 37.4326	777835 777959

segment length: 1721	score: 702.777
DEL 1636 2549 0	781107 782020

segment length: 6249	score: 2507.4
INV 4950 5649 32.8979	794945 795644

segment length: 549	score: 185.794
DEL 546 962 0	794827 795243

segment length: 6919	score: 2691.92
DEL 6619 7228 2.65187	801505 802114

segment length: 7916	score: 2454.48
INS 5350 6124 32.1384	814641 815415

segment length: 7419	score: 1639.02
INS 2900 3699 31.9061	813614 814413

segment length: 5091	score: 1817.59
INS 350 1124 33.6522	813627 814401

segment length: 3715	score: 1572.02
INS 3200 3324 31.2404	839386 839510

segment length: 9098	score: 2989.16
INS 225 374 34.8238	837164 837313

segment length: 2094	score: 1136.63
DEL 2031 2710 0	1039267 1039946

segment length: 1601	score: 212.649
INV 625 1224 27.0215	1094964 1095563

segment length: 5552	score: 1755
INV 450 1074 30.2423	1094854 1095478

segment length: 3315	score: 667.702
INS 1975 2274 32.2564	1121555 1121854

segment length: 1495	score: 380.304
DEL 339 686 4.26488	1121494 1121841

segment length: 1681	score: 328.528
DEL 69 779 1.14431	1155309 1156019

segment length: 3743	score: 1191.67
DEL 2511 2941 0	1162753 1163183

segment length: 2623	score: 616.669
DEL 526 975 2.95713	1226258 1226707

segment length: 1626	score: 437.848
DEL 1470 1815 2.42673	1227521 1227866

segment length: 2657	score: 1004.57
DEL 4576 4957 0	1230927 1231308

segment length: 9686	score: 2963.48
DEL 3640 4132 0	1242252 1242744

segment length: 5176	score: 2313.77
DEL 4723 5497 0	1251852 1252626

segment length: 5925	score: 2149.05
DEL 4130 4984 0	1251824 1252678

segment length: 5656	score: 1482.58
DEL 2856 3692 0	1251842 1252678

segment length: 1657	score: 512.709
DEL 1178 2008 0	1251848 1252678

segment length: 7750	score: 1941.12
INV 4550 5524 34.4708	1288146 1289120

segment length: 3125	score: 894.183
INV 1625 2624 29.4525	1287958 1288957

segment length: 2580	score: 836.703
INS 625 874 30.6111	1442341 1442590

segment length: 5598	score: 3136.93
DEL 5209 5790 0	1460356 1460937

segment length: 4609	score: 1581.71
DEL 3847 4441 0	1460366 1460960

segment length: 5380	score: 1209.9
DEL 2504 3049 0	1460360 1460905

segment length: 1978	score: 494.266
DEL 1157 1778 0	1460358 1460979

segment length: 6401	score: 2265.48
DEL 505 1107 0	1460358 1460960

segment length: 2587	score: 754.86
DEL 3172 4254 0.48914	1526871 1527953

segment length: 2674	score: 480.191
INS 850 1599 26.3403	1524734 1525483

segment length: 3457	score: 1385.21
DEL 3688 4713 0	1668843 1669868

segment length: 4033	score: 1236.45
DEL 2640 2930 0	1667851 1668141

segment length: 3669	score: 989.435
DEL 2282 2595 0	1667834 1668147

segment length: 1950	score: 487.414
DEL 858 1164 0	1667848 1668154

segment length: 2610	score: 680.916
INS 1825 1949 27.4187	1711477 1711601

segment length: 5867	score: 2125.53
DEL 4995 5650 0	1767692 1768347

segment length: 7694	score: 2383.51
DEL 4624 5205 0	1767746 1768327

segment length: 3135	score: 669.912
INV 1325 2299 28.4749	1843683 1844657

segment length: 6990	score: 3876.64
DEL 6374 6620 0	1956521 1956767

segment length: 5513	score: 1986.05
INS 4450 4574 38.2597	1956697 1956821

segment length: 6394	score: 2486.75
DEL 729 955 0	1956520 1956746

segment length: 4107	score: 1776.28
DEL 3230 3383 0	1968920 1969073

segment length: 1848	score: 760.982
DEL 853 1004 0	1968912 1969063

segment length: 8699	score: 3976.71
DEL 588 744 0	1968913 1969069

segment length: 2266	score: 956.624
DEL 562 678 0	1968924 1969040

segment length: 2821	score: 1266.45
DEL 206 344 0	1968919 1969057

segment length: 2103	score: 360.455
INV 775 1449 31.2499	2045259 2045933

segment length: 1627	score: 398.107
DEL 2091 2698 2.26905	2100517 2101124

segment length: 1524	score: 394.241
DEL 1397 2022 1.66622	2147979 2148604

segment length: 1840	score: 268.274
DEL 317 571 0	2146947 2147201

